loan_id,grade,purpose,state,loan_amount,interest_rate,default_flag,pred_default_probability,risk_band
100001,E,medical,FL,19900.0,0.1476,1,0.645023488496307,High
100002,C,home_improvement,IL,29227.0,0.095,1,0.5790972548415296,Medium
100003,F,debt_consolidation,GA,28202.0,0.1878,1,0.8818470855706848,High
100004,C,debt_consolidation,NC,18070.0,0.0913,0,0.3748475757542427,Medium
100005,E,medical,WA,1000.0,0.1586,0,0.2799216986883898,Low
100006,D,home_improvement,FL,8048.0,0.0984,1,0.472705529000164,Medium
100007,A,home_improvement,FL,24870.0,0.0905,1,0.41311361287724346,Medium
100008,E,small_business,WA,4048.0,0.2063,1,0.6992079965036945,High
100009,E,debt_consolidation,CA,15060.0,0.1437,0,0.5749680592129894,Medium
100010,B,medical,FL,21046.0,0.0589,0,0.2120555911701257,Low
100011,D,medical,NY,31226.0,0.1212,0,0.6359699592089767,High
100012,B,education,NC,12825.0,0.0684,1,0.4610087092998638,Medium
100013,A,debt_consolidation,GA,12209.0,0.05,0,0.2763977345231073,Low
100014,B,education,NY,17528.0,0.05,1,0.5570736386722539,Medium
100015,C,small_business,WA,21158.0,0.0924,1,0.49224474196811024,Medium
100016,A,small_business,FL,16612.0,0.0751,0,0.6384107033299443,High
100017,B,small_business,GA,27443.0,0.05,0,0.3303940212284426,Medium
100018,F,small_business,FL,10808.0,0.1721,1,0.8047255551225394,High
100019,C,medical,WA,19081.0,0.0726,0,0.4733837138698971,Medium
100020,D,medical,WA,22007.0,0.0678,1,0.29969394710633157,Low
100021,B,home_improvement,GA,14398.0,0.052,1,0.1964137214466835,Low
100022,A,education,WA,25557.0,0.1002,1,0.4215560341202095,Medium
100023,D,home_improvement,NY,19341.0,0.1494,0,0.7326726209145148,High
100024,B,medical,WA,25100.0,0.093,0,0.45550341861232635,Medium
100025,C,home_improvement,NY,19747.0,0.0999,1,0.5250800807902077,Medium
100026,F,home_improvement,WA,21388.0,0.1574,1,0.677964494636737,High
100027,B,education,NC,12308.0,0.05,0,0.11386593471685749,Low
100028,C,debt_consolidation,FL,12323.0,0.1002,0,0.40598540416028484,Medium
100029,C,education,NC,29020.0,0.1003,1,0.7846046779727328,High
100030,A,education,TX,23720.0,0.1044,1,0.5418919586391726,Medium
