loan_id,issue_date,age,annual_income,loan_amount,term_months,employment_length_years,credit_score,grade,purpose,state,home_ownership,inquiries_last_6m,delinquencies_last_2y,revolving_utilization,dti_ratio,interest_rate,default_flag
100001,2022-08-14,25,63717.0,19900.0,60,3.0,716.0,E,medical,FL,RENT,1,1,0.3081,0.9,0.1476,1
100002,2023-12-03,56,61258.0,29227.0,60,8.0,767.0,C,home_improvement,IL,MORTGAGE,6,0,0.3228,0.9,0.095,1
100003,2022-10-23,51,98069.0,28202.0,36,4.0,652.0,F,debt_consolidation,GA,RENT,0,3,0.5751,0.9,0.1878,1
100004,2023-07-10,41,99573.0,18070.0,36,2.0,666.0,C,debt_consolidation,NC,OWN,2,0,0.2066,0.9,0.0913,0
100005,2023-04-20,40,58947.0,1000.0,36,1.0,686.0,E,medical,WA,MORTGAGE,1,1,0.6688,0.2671,0.1586,0
100006,2023-10-06,60,62905.0,8048.0,60,11.0,772.0,D,home_improvement,FL,OWN,0,1,0.5751,0.9,0.0984,1
100007,2023-10-16,24,91234.0,24870.0,36,10.0,639.0,A,home_improvement,FL,MORTGAGE,1,0,0.684,0.9,0.0905,1
100008,2023-02-10,53,50172.0,4048.0,60,2.0,632.0,E,small_business,WA,RENT,3,1,0.348,0.6791,0.2063,1
100009,2022-04-04,30,62684.0,15060.0,36,8.0,704.0,E,debt_consolidation,CA,RENT,1,0,0.5593,0.9,0.1437,0
100010,2023-02-15,25,77688.0,21046.0,36,14.0,733.0,B,medical,FL,RENT,1,0,0.2728,0.9,0.0589,0
100011,2023-03-26,45,104878.0,31226.0,36,13.0,648.0,D,medical,NY,MORTGAGE,1,0,0.6153,0.9,0.1212,0
100012,2023-06-28,65,56862.0,12825.0,60,7.0,730.0,B,education,NC,RENT,1,2,0.4325,0.9,0.0684,1
100013,2023-05-23,54,19728.0,12209.0,36,0.0,772.0,A,debt_consolidation,GA,MORTGAGE,1,0,0.4522,0.9,0.05,0
100014,2022-09-14,56,18000.0,17528.0,36,10.0,762.0,B,education,NY,MORTGAGE,2,0,0.4735,0.9,0.05,1
100015,2023-08-28,54,37218.0,21158.0,36,8.0,711.0,C,small_business,WA,RENT,0,0,0.1317,0.9,0.0924,1
100016,2023-04-28,57,35605.0,16612.0,60,14.0,685.0,A,small_business,FL,MORTGAGE,0,1,0.718,0.9,0.0751,0
100017,2023-07-02,44,70362.0,27443.0,60,8.0,794.0,B,small_business,GA,MORTGAGE,4,1,0.4966,0.9,0.05,0
100018,2022-11-05,26,39334.0,10808.0,36,11.0,691.0,F,small_business,FL,MORTGAGE,3,1,0.7188,0.9,0.1721,1
100019,2022-09-03,59,53917.0,19081.0,36,8.0,746.0,C,medical,WA,RENT,2,0,0.704,0.9,0.0726,0
100020,2023-11-04,41,51777.0,22007.0,36,8.0,807.0,D,medical,WA,RENT,0,0,0.3173,0.9,0.0678,1
100021,2023-05-09,44,61785.0,14398.0,36,5.0,740.0,B,home_improvement,GA,MORTGAGE,2,0,0.426,0.9,0.052,1
100022,2022-09-17,38,114675.0,25557.0,60,6.0,630.0,A,education,WA,RENT,1,0,0.1698,0.9,0.1002,1
100023,2022-10-01,29,,19341.0,36,4.0,616.0,D,home_improvement,NY,MORTGAGE,1,1,0.7252,0.9,0.1494,0
100024,2023-04-10,63,75484.0,25100.0,36,7.0,672.0,B,medical,WA,OWN,1,1,0.5449,0.9,0.093,0
100025,2022-12-06,56,61169.0,19747.0,60,15.0,733.0,C,home_improvement,NY,MORTGAGE,2,0,0.5202,0.9,0.0999,1
100026,2022-01-15,50,62003.0,21388.0,36,5.0,717.0,F,home_improvement,WA,RENT,0,0,0.4248,0.9,0.1574,1
100027,2022-03-06,39,84832.0,12308.0,36,7.0,822.0,B,education,NC,RENT,1,1,0.286,0.9,0.05,0
100028,2023-03-01,58,92525.0,12323.0,36,15.0,716.0,C,debt_consolidation,FL,OWN,0,0,0.7365,0.9,0.1002,0
100029,2022-05-06,46,47771.0,29020.0,36,2.0,670.0,C,education,NC,RENT,3,0,0.8811,0.9,0.1003,1
